TYPE,Agarum clathratum,Agarum fibriatum,Alaria marginata,"Apostichopus californicus, California cucumber","Boltenia villosa, stalked tunicate",Cancer crab spp.,"Ceratostoma foliatum, Leafy  hornmouth","Cnemidocarpa finmarkiensis, small, smooth orange tunicate",Constantinea,Costaria costata,"Crassedoma giganteum, rock scallop",Cribinopsis albopunctatus (vertical white spots),"Cryptochiton stelleri, gumboot chiton","Cryptolithoides sitchensis, umbrella crab","Cucumaria miniata, orange sea cucumber",Cymathaere triplicata,"Dermasterias imbricata, leather star","Evasterias troschellii, False ochre star","Haliotis kamtschatkana, pinto abalone","Halocynthia aurantium, sea peach","Halocynthis igaboja, sea hedgehog",Heart crab (Phyllolithodes pappilosus),Hedophylum nigripes,"Henricia spp, blood star",Laminaria setchellii,Laminariales spp. Juvenile (<1m),Macrocystis Juvenile (<1m),Macrocystis Pyrifera Adults (>1m),Nereocystis Juvenile (<20cm),Nereocystis Leutkeana,Opuntiella,"Orthasterias koehleri, rainbow star","Pagaurus spp, any hermit crab","Pisaster ochraceous, ochre star",Pleurophycus gardneri,"Pugettia producta, kelp crab","Pycnopodia helianthoides, sunflower star",Saccarina latissima,"Scyra/Oregonia, Decorator crab",SNAIL,"Solaster pacificus, pacific sun star","Strongylocentrotus franciscanus, red urchin","Strongylocentrotus, green urchin","Urticina coriacea, stubby rose anemone","Urticina grebelnyi, Christmas anemone",,YEAR,TYPE,SITE,SEASON,TRANSECT,SEGMENT OF THE TRANSECT
BARREN,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.95505618,50.84745763,0,0,,2025,BARREN,SANDY COVE,SUMMER,1,0-10m
BARREN,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,65.2173913,170.5882353,0,0,,2025,BARREN,SANDY COVE,SUMMER,1,10-20m
BARREN,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,37.97468354,62.5,0,0,,2025,BARREN,SANDY COVE,SUMMER,1,20-30m
BARREN,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,17,2,0,0,0,0,0,0,0,0,0,0,0,1,49.18032787,1,0,0,0,0,0,0,0,62.5,50,0,0,,2025,BARREN,SANDY COVE,SUMMER,2,0-10m
BARREN,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,7,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,71.42857143,0,0,0,0,0,0,0,0,50,58.49056604,0,0,,2025,BARREN,SANDY COVE,SUMMER,2,10-20m
BARREN,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,6,1,36.47058824,0,0,0,0,0,0,0,0,0,0,0,0,2,62.5,0,0,0,0,0,0,0,0,55.76923077,87.87878788,0,0,,2025,BARREN,SANDY COVE,SUMMER,2,20-30m
MACRO,0,0,0,0,0,0,0,1,17,0,0,0,0,0,0,0,9,0,2,0,0,0,7,0,0,0,12,3,0,0,2,0,3,0,0,0,1,0,0,0,0,8,1,0,0,,2025,MACRO,BATTERY ISLAND,SUMMER,1,0-10m
MACRO,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,10,0,2,0,2,0,3,0,0,0,11,30,0,0,2,2,4,0,0,0,0,0,0,0,0,29,0,0,0,,2025,MACRO,BATTERY ISLAND,SUMMER,1,10-20m
MACRO,0,0,0,0,0,0,0,1,16,0,1,0,0,0,0,0,7,1,0,0,0,0,61.9047619,1,0,0,7,38,0,0,4,2,10,0,0,0,1,0,0,0,0,1,0,0,0,,2025,MACRO,BATTERY ISLAND,SUMMER,1,20-30m
MACRO,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,15,1,2,0,2,0,0,0,0,0,19,26,0,0,3,1,42.85714286,0,0,0,0,0,0,0,0,21,2,0,1,,2025,MACRO,BATTERY ISLAND,SUMMER,2,0-10m
MACRO,0,0,0,0,0,0,1,0,16,0,0,0,0,0,0,0,10,0,1,0,1,0,62.12121212,1,0,0,9,37,0,0,8,0,20,0,0,1,0,0,0,0,0,5,0,0,0,,2025,MACRO,BATTERY ISLAND,SUMMER,2,10-20m
MACRO,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,2,0,2,0,12,0,0,0,0,0,0,0,1,1,20,0,0,0,0,0,1,0,0,8,0,0,0,,2025,MACRO,BATTERY ISLAND,SUMMER,2,20-30m
MACRO,0,24,0,0,0,0,1,6,2,0,0,0,0,0,0,0,4,0,6,2,0,0,83.78378378,0,0,0,84.44444444,12,0,0,0,1,4,0,0,0,3,0,0,0,0,0,4,0,0,,2025,MACRO,CROW ISLAND,SUMMER,1,0-10m
MACRO,0,15,0,0,0,0,2,25,14,0,1,0,1,0,0,0,5,0,4,1,1,0,61.53846154,2,0,10,44.70588235,16,0,0,1,0,17,0,0,0,2,0,2,0,0,0,2,0,0,,2025,MACRO,CROW ISLAND,SUMMER,1,10-20m
MACRO,6,30,0,0,0,0,0,19,38.55421687,0,1,0,0,0,0,0,8,0,0,2,0,0,35.86956522,0,0,3,12,4,0,0,0,0,6,0,0,0,4,14,0,0,0,1,1,0,0,,2025,MACRO,CROW ISLAND,SUMMER,1,20-30m
MACRO,1,17,0,0,0,0,0,0,25,0,0,0,0,0,0,0,6,0,6,0,3,0,16,0,0,53.03030303,2,17,0,0,1,0,0,0,0,1,3,5,0,0,0,0,0,0,0,,2025,MACRO,CROW ISLAND,SUMMER,2,0-10m
MACRO,1,6,0,0,0,0,0,0,36,0,0,0,0,0,0,0,4,2,11,0,0,0,19,0,0,56.92307692,2,13,0,0,4,0,0,0,0,0,2,9,0,1,0,0,0,0,0,,2025,MACRO,CROW ISLAND,SUMMER,2,10-20m
MACRO,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,0,0,0,0,0,8,1,0,150,2,0,0,0,1,0,0,0,0,0,2,136.3636364,0,0,0,0,0,0,0,,2025,MACRO,CROW ISLAND,SUMMER,2,20-30m
MACRO,20,45.45454545,0,0,1,3,0,1,32,0,1,0,1,0,0,0,7,1,3,2,0,0,20,0,0,0,5,59,0,0,9,0,44,0,0,2,0,0,0,0,0,0,2,0,0,,2025,MACRO,MIDDLE ISLAND,SUMMER,1,0-10m
MACRO,41.66666667,49.18032787,0,0,2,0,0,0,19,0,2,0,0,0,0,0,4,2,9,8,0,0,28,2,0,0,16,51,0,0,4,0,28,0,0,0,0,0,2,0,0,0,6,0,0,,2025,MACRO,MIDDLE ISLAND,SUMMER,1,10-20m
MACRO,8,17,0,0,0,0,0,0,65.2173913,0,0,0,0,0,0,0,2,3,1,1,0,0,8,0,0,0,5,50,0,0,10,1,16,0,0,0,0,0,0,0,0,0,2,0,0,,2025,MACRO,MIDDLE ISLAND,SUMMER,1,20-30m
MACRO,0,0,0,0,0,0,0,1,17,0,1,0,0,1,0,0,3,1,5,2,0,0,3,0,0,0,2,164,0,0,2,0,9,0,0,0,0,0,2,0,0,0,0,0,0,,2025,MACRO,MIDDLE ISLAND,SUMMER,2,0-10m
MACRO,8,58.49056604,0,0,0,1,0,2,7,0,2,0,0,0,0,0,5,1,2,1,0,0,7,0,0,0,7,40,0,0,1,0,4,0,0,0,0,17,0,0,0,0,3,0,0,,2025,MACRO,MIDDLE ISLAND,SUMMER,2,10-20m
MACRO,11,17,0,0,0,0,1,0,15,0,2,0,0,0,0,0,8,1,6,0,0,0,0,0,0,0,50.84745763,41,0,0,4,2,16,0,0,0,0,2,2,0,0,1,2,0,0,,2025,MACRO,MIDDLE ISLAND,SUMMER,2,20-30m
MACRO,0,0,0,7,0,1,0,7,0,0,0,0,0,0,0,0,7,0,7,1,0,0,14,2,0,0,83.17647059,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,,2025,MACRO,SAMSING FOREST,SUMMER,1,0-10m
MACRO,0,0,0,5,0,2,0,10,0,0,1,0,0,0,0,0,7,0,7,1,0,0,11,4,0,0,128.125,25,0,0,0,1,6,0,0,2,0,3,0,22,0,0,0,0,0,,2025,MACRO,SAMSING FOREST,SUMMER,1,10-20m
MACRO,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,2,0,0,5,6,0,0,100,25,0,0,0,0,3,0,0,0,0,5,0,12,0,1,0,0,0,,2025,MACRO,SAMSING FOREST,SUMMER,1,20-30m
MACRO,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,2,0,0,0,149,0,0,0,0,5,0,0,0,0,1,1,0,0,0,0,0,0,,2025,MACRO,SAMSING FOREST,SUMMER,2,0-10m
MACRO,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,0,0,11,18,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,2025,MACRO,SAMSING FOREST,SUMMER,2,10-20m
MACRO,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,40,0,0,0,0,18,0,0,0,1,0,3,0,0,0,0,0,0,,2025,MACRO,SAMSING FOREST,SUMMER,2,20-30m
NEREO,37.20930233,2,0,0,0,1,0,0,55.55555556,1,0,0,0,0,0,23,19,0,1,0,0,0,56.60377358,0,0,69.76744186,0,0,1,26,20,0,0,0,0,0,2,0,1,0,0,10,0,0,0,,2025,NEREO,FUCUS GARDEN,SUMMER,1,0-10m
NEREO,62.5,0,0,0,0,1,2,0,142.8571429,1,0,0,0,0,1,20,14,0,2,1,0,0,65.2173913,0,0,136.3636364,0,0,0,26,31.91489362,1,0,0,0,0,1,0,1,0,0,10,0,0,0,,2025,NEREO,FUCUS GARDEN,SUMMER,1,10-20m
NEREO,42.85714286,0,0,0,0,1,5,0,60,0,0,0,0,0,0,43.24324324,23,0,5,0,0,0,56.14035088,0,0,166.6666667,0,0,0,44.73684211,18,0,0,0,0,0,0,0,2,0,0,21,3,0,0,,2025,NEREO,FUCUS GARDEN,SUMMER,1,20-30m
NEREO,16,0,0,6,0,4,0,0,29,0,1,0,0,0,1,10,26,0,1,0,0,0,136.3636364,0,0,9,0,0,0,7,3,0,0,0,0,0,4,0,0,0,0,2,0,0,0,,2025,NEREO,FUCUS GARDEN,SUMMER,2,0-10m
NEREO,12,3,0,2,0,2,0,0,7,0,0,0,0,0,1,8,21,3,3,0,1,0,83.33333333,0,0,16,0,0,1,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,2025,NEREO,FUCUS GARDEN,SUMMER,2,10-20m
NEREO,25,1,0,18,0,0,0,0,3,0,0,0,0,0,0,12,21,1,10,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,3,1,3,0,0,0,0,0,0,,2025,NEREO,MAGOONIE,SUMMER,1,0-10m
NEREO,19,0,0,33.33333333,0,0,0,0,14,0,0,0,0,0,2,46.15384615,17,0,4,0,0,0,24,0,0,10,0,0,0,7,0,1,0,0,1,0,2,0,1,0,0,4,0,0,0,,2025,NEREO,MAGOONIE,SUMMER,1,10-20m
NEREO,5,0,0,16,0,0,0,0,93.75,0,0,0,0,0,1,10,7,0,3,0,0,0,40,0,1,23,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,6,4,0,0,,2025,NEREO,MAGOONIE,SUMMER,1,20-30m
NEREO,12,0,0,12,0,1,0,0,5,0,0,0,0,0,0,34,18,1,2,0,0,0,82.92682927,0,0,2,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,2025,NEREO,MAGOONIE,SUMMER,2,0-10m
NEREO,11,0,0,14,0,0,0,0,5,0,0,0,0,0,0,9,9,0,1,0,0,0,53.125,0,0,17,0,0,0,12,0,0,0,0,0,1,2,4,0,0,0,0,0,0,0,,2025,NEREO,MAGOONIE,SUMMER,2,10-20m
NEREO,11,0,0,16,0,0,0,0,10,0,0,0,0,0,0,10,11,0,1,0,0,0,51.66666667,0,0,2,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,2025,NEREO,MAGOONIE,SUMMER,2,20-30m
NEREO,4,0,0,5,0,0,0,0,0,6,0,0,0,0,0,8,73.80952381,1,1,0,0,0,73.17073171,0,0,0,0,0,0,1,8,0,0,0,0,0,1,0,0,0,0,1,1,0,0,,2025,NEREO,STAR CITY,SUMMER,1,0-10m
NEREO,17,0,0,0,0,0,0,0,4,3,0,0,0,0,0,13,52.63157895,2,0,0,0,0,49.18032787,1,0,0,0,0,0,6,8,0,1,0,10,0,2,0,0,0,0,0,1,0,0,,2025,NEREO,STAR CITY,SUMMER,1,10-20m
NEREO,1,0,0,11,0,1,0,0,11,0,0,0,0,0,0,0,68.18181818,0,0,0,0,0,30,1,2,0,0,0,3,5,7,0,0,0,13,0,3,0,0,0,0,1,0,0,0,,2025,NEREO,STAR CITY,SUMMER,1,20-30m
NEREO,0,0,10,3,0,1,0,0,0,1,0,0,0,0,4,13,9,0,2,0,0,0,32.60869565,0,0,0,0,0,0,6,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,,2025,NEREO,STAR CITY,SUMMER,2,0-10m
NEREO,0,4,10,3,0,0,0,1,4,0,0,0,0,0,0,4,14,1,0,0,2,0,56.60377358,0,1,0,0,0,0,8,2,0,0,0,0,0,1,2,1,0,0,0,0,0,0,,2025,NEREO,STAR CITY,SUMMER,2,10-20m
NEREO,0,5,19,0,0,0,0,0,14,1,0,0,0,0,3,17,23,0,1,0,0,0,81.08108108,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,8,0,0,0,,2025,NEREO,STAR CITY,SUMMER,2,20-30m
